n_events,n_cells,grid_rows,grid_cols,n_active_cells,n_hotspot_candidates,n_hotspots,max_intensity,max_support,bandwidth_cells,compute_ms,spatial_bw_m,experiment,temporal_bw_h,grid_cell_m,kernel,min_support
80000,5950,85,70,2247,3201,15,546.6410395517546,457,1,496.5,200.0,Exp1_SpatialBW,,,,
80000,5950,85,70,2247,3201,15,546.6410395517546,457,1,549.0,400.0,Exp1_SpatialBW,,,,
80000,5950,85,70,2247,3488,15,1162.170359624758,457,2,536.3,750.0,Exp1_SpatialBW,,,,
80000,5950,85,70,2247,3943,15,1986.1462833811172,457,3,727.0,1200.0,Exp1_SpatialBW,,,,
80000,5950,85,70,2247,4138,15,2716.390300119333,457,4,843.7,2000.0,Exp1_SpatialBW,,,,
80000,5950,85,70,2247,4643,15,4857.744745575145,457,6,1311.2,3000.0,Exp1_SpatialBW,,,,
80000,5950,85,70,2247,3488,15,961.7676871379148,457,2,561.9,,Exp2_TemporalBW,4.0,,,
80000,5950,85,70,2247,3488,15,1141.99784722674,457,2,548.9,,Exp2_TemporalBW,12.0,,,
80000,5950,85,70,2247,3488,15,1162.170359624758,457,2,540.5,,Exp2_TemporalBW,24.0,,,
80000,5950,85,70,2247,3488,15,1167.3142758269946,457,2,548.2,,Exp2_TemporalBW,48.0,,,
80000,5950,85,70,2247,3488,15,1168.2713561176895,457,2,536.9,,Exp2_TemporalBW,72.0,,,
80000,5950,85,70,2247,3488,15,1168.8971511585748,457,2,550.0,,Exp2_TemporalBW,168.0,,,
80000,146012,422,346,24099,79020,15,919.0253272368983,133,8,23932.1,,Exp3_GridResolution,,100.0,,
80000,23491,169,139,7417,13019,15,838.4607020705199,225,3,1585.2,,Exp3_GridResolution,,250.0,,
80000,5950,85,70,2247,3488,15,1162.170359624758,457,2,558.2,,Exp3_GridResolution,,500.0,,
80000,2679,57,47,1104,1608,15,854.444663036177,663,1,444.4,,Exp3_GridResolution,,750.0,,
80000,1505,43,35,654,975,15,1166.2271404479513,950,1,444.6,,Exp3_GridResolution,,1000.0,,
80000,696,29,24,338,506,15,1631.2136299879085,1167,1,386.1,,Exp3_GridResolution,,1500.0,,
80000,396,22,18,201,313,15,2653.5829728619005,2168,1,374.1,,Exp3_GridResolution,,2000.0,,
80000,5950,85,70,2247,3488,15,1162.170359624758,457,2,561.8,,Exp4_Kernel,,,gaussian,
80000,5950,85,70,2247,2824,15,938.2794223554848,457,2,713.0,,Exp4_Kernel,,,epanechnikov,
80000,5950,85,70,2247,3032,15,1211.3574985903053,457,2,684.4,,Exp4_Kernel,,,uniform,
80000,5950,85,70,2247,2824,15,847.8990490721006,457,2,729.5,,Exp4_Kernel,,,quartic,
80000,5950,85,70,2247,2824,15,881.4437922288494,457,2,708.8,,Exp4_Kernel,,,triangular,
80000,36503,211,173,10590,17107,15,422.4309823727425,201,2,1152.2,300.0,Exp5_Sweep,,200.0,,
80000,36503,211,173,10590,19138,15,667.9374073355374,201,3,2272.1,500.0,Exp5_Sweep,,200.0,,
